City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
166,Svetlyy,RU,2021-07-12 23:24:44,54.675,20.1347,69.85,87,55,4.54
167,La Orilla,MX,2021-07-12 23:24:44,17.9833,-102.2333,83.43,76,100,5.66
168,Westport,US,2021-07-12 23:24:45,41.1415,-73.3579,77.05,89,90,7.0
169,Swiecie,PL,2021-07-12 23:24:45,53.4095,18.4474,67.57,90,59,4.03
170,Pakxe,LA,2021-07-12 23:24:45,15.1167,105.7833,74.62,96,100,1.23
171,Cabedelo,BR,2021-07-12 23:24:45,-6.9811,-34.8339,74.07,82,75,13.71
172,Bredasdorp,ZA,2021-07-12 23:24:46,-34.5322,20.0403,44.28,87,95,11.5
173,Acajutla,SV,2021-07-12 23:24:46,13.5928,-89.8275,82.8,71,83,3.8
174,Salalah,OM,2021-07-12 23:24:46,17.0151,54.0924,80.69,89,90,8.05
175,Vadinsk,RU,2021-07-12 23:24:46,53.6916,43.0574,61.05,76,0,3.04
176,Pangai,TO,2021-07-12 23:24:47,-19.8,-174.35,82.51,74,40,9.22
177,Sokolo,ML,2021-07-12 23:24:47,14.7328,-6.1219,81.12,65,94,15.37
178,Bichura,RU,2021-07-12 23:24:47,50.5881,107.6022,60.4,91,91,3.53
179,Ortega,CO,2021-07-12 23:24:47,3.9361,-75.2217,83.28,60,27,4.45
180,Luanda,AO,2021-07-12 23:24:48,-8.8368,13.2343,69.8,94,0,6.91
181,Margate,GB,2021-07-12 23:24:48,51.3813,1.3862,62.87,96,97,9.62
182,Tonami,JP,2021-07-12 23:24:48,37.0013,137.7272,77.77,75,0,2.57
183,Mahebourg,MU,2021-07-12 23:24:48,-20.4081,57.7,70.09,68,40,11.5
184,Hay River,CA,2021-07-12 23:24:49,60.8156,-115.7999,73.36,40,40,6.91
185,Nakamura,JP,2021-07-12 23:24:49,32.9833,132.9333,79.34,81,2,0.29
186,Port Elizabeth,ZA,2021-07-12 23:24:49,-33.918,25.5701,52.09,54,0,32.21
187,Dikson,RU,2021-07-12 23:24:49,73.5069,80.5464,33.24,89,100,19.46
188,Sambava,MG,2021-07-12 23:24:50,-14.2667,50.1667,69.8,84,35,11.81
189,Portmore,JM,2021-07-12 23:24:50,17.9702,-76.8672,87.76,64,20,28.77
190,Colon,PA,2021-07-12 23:24:50,9.3592,-79.9014,82.36,88,100,5.01
191,Mitu,CO,2021-07-12 23:24:50,1.1983,-70.1733,74.48,89,53,2.37
192,Guadalajara,MX,2021-07-12 23:24:51,20.6667,-103.3333,76.77,62,75,1.99
193,Sinnamary,GF,2021-07-12 23:24:51,5.3833,-52.95,78.53,85,78,6.98
194,Kamenka,RU,2021-07-12 23:24:51,51.3223,42.7678,60.6,73,0,7.36
195,Puerto Carreno,CO,2021-07-12 23:24:51,6.189,-67.4859,80.69,80,81,2.46
196,Aleksandrovskiy Zavod,RU,2021-07-12 23:24:52,50.9237,117.9374,65.62,93,100,2.82
197,Uzhhorod,UA,2021-07-12 23:24:52,48.6167,22.3,68.49,77,8,3.78
198,Thompson,CA,2021-07-12 23:24:52,55.7435,-97.8558,64.56,68,90,11.5
199,Ancud,CL,2021-07-12 23:24:52,-41.8697,-73.8203,46.22,76,83,4.34
200,Chernyshevskiy,RU,2021-07-12 23:24:53,63.0128,112.4714,63.61,62,84,5.55
201,Chumikan,RU,2021-07-12 23:24:53,54.7183,135.315,51.31,98,100,3.87
202,Dubrovnik,HR,2021-07-12 23:24:31,42.6481,18.0922,76.64,73,0,6.91
203,Tondano,ID,2021-07-12 23:24:53,1.3038,124.9112,69.89,93,100,2.24
204,Puerto Lumbreras,ES,2021-07-12 23:24:53,37.5633,-1.8097,78.98,16,62,19.89
205,Belyy Yar,RU,2021-07-12 23:24:54,53.6039,91.3903,62.49,82,0,2.24
206,Torbay,CA,2021-07-12 23:24:54,47.6666,-52.7314,62.89,89,90,14.97
207,Kenora,CA,2021-07-12 23:22:03,49.8167,-94.4337,83.37,42,40,16.11
208,Berlevag,NO,2021-07-12 23:24:54,70.8578,29.0864,51.53,89,97,19.01
209,Tadine,NC,2021-07-12 23:24:54,-21.55,167.8833,70.9,64,68,13.71
210,Haines Junction,CA,2021-07-12 23:24:55,60.7522,-137.5108,62.55,55,100,5.75
211,Anadyr,RU,2021-07-12 23:24:55,64.75,177.4833,68.5,60,0,2.24
212,Coffs Harbour,AU,2021-07-12 23:24:55,-30.3,153.1333,58.96,84,1,3.44
213,Brownsville,US,2021-07-12 23:24:55,25.9018,-97.4975,90.09,68,40,7.0
214,Lakhdenpokhya,RU,2021-07-12 23:24:56,61.5198,30.1992,67.82,66,69,3.87
215,Rossland,CA,2021-07-12 23:24:56,49.0831,-117.8022,95.61,10,34,2.91
216,Pisco,PE,2021-07-12 23:24:56,-13.7,-76.2167,64.45,82,0,12.66
217,Lorengau,PG,2021-07-12 23:24:56,-2.0226,147.2712,84.31,74,47,13.91
218,Ilulissat,GL,2021-07-12 23:24:57,69.2167,-51.1,53.62,47,19,8.05
219,Regina,CA,2021-07-12 23:20:36,50.4501,-104.6178,80.62,35,40,16.11
220,Havelock,US,2021-07-12 23:24:57,34.8791,-76.9013,85.05,86,88,11.99
221,Akdepe,TM,2021-07-12 23:24:57,42.0551,59.3788,75.29,41,8,8.19
222,Mindelo,CV,2021-07-12 23:24:58,16.8901,-24.9804,74.75,60,75,12.66
223,Semirom,IR,2021-07-12 23:24:58,31.4167,51.5667,68.99,20,2,2.53
224,Tevaitoa,PF,2021-07-12 23:24:58,-16.7833,-151.5,79.65,74,4,21.61
225,Wexford,IE,2021-07-12 23:24:58,52.3342,-6.4575,61.12,92,58,2.62
226,Nicoya,CR,2021-07-12 23:24:58,10.1483,-85.452,83.75,88,100,4.34
227,Semporna,MY,2021-07-12 23:24:59,4.4818,118.6112,79.0,84,90,2.21
228,Koslan,RU,2021-07-12 23:24:59,63.4564,48.8989,52.7,52,80,4.38
229,Khash,IR,2021-07-12 23:24:59,28.2211,61.2158,81.39,48,78,1.01
230,Letlhakeng,BW,2021-07-12 23:25:00,-24.0944,25.0298,52.83,29,0,14.47
231,Jurado,CO,2021-07-12 23:25:00,7.1053,-77.7641,80.08,85,88,4.56
232,College,US,2021-07-12 23:25:00,64.8569,-147.8028,79.0,28,20,4.61
233,Luganville,VU,2021-07-12 23:25:00,-15.5333,167.1667,79.65,80,53,5.86
234,Kenai,US,2021-07-12 23:25:00,60.5544,-151.2583,63.03,78,90,3.44
235,Balta,UA,2021-07-12 23:25:01,47.9355,29.6198,64.9,87,69,2.95
236,Ozernovskiy,RU,2021-07-12 23:25:01,51.5,156.5167,50.9,97,100,3.56
237,Shimoda,JP,2021-07-12 23:25:01,34.6667,138.95,78.91,80,100,2.19
238,Londiani,KE,2021-07-12 23:25:01,-0.165,35.5909,51.8,96,90,1.41
239,Carpinteria,US,2021-07-12 23:22:21,34.3989,-119.5185,100.13,64,3,8.08
240,Shetpe,KZ,2021-07-12 23:25:02,44.1667,52.1167,75.85,46,0,7.9
241,Iqaluit,CA,2021-07-12 23:25:02,63.7506,-68.5145,46.13,87,75,5.99
242,Saint-Francois,FR,2021-07-12 23:25:02,46.4154,3.9054,57.47,95,90,3.44
243,Sisimiut,GL,2021-07-12 23:25:03,66.9395,-53.6735,45.16,64,0,4.07
244,Juegang,CN,2021-07-12 23:25:03,32.3174,121.1855,81.66,86,100,8.43
245,Waddan,LY,2021-07-12 23:25:03,29.1614,16.139,78.35,57,0,9.69
246,Benjamin Constant,BR,2021-07-12 23:25:03,-4.3831,-70.0311,78.93,94,77,2.06
